id,name,affiliations,location_tag,paper_count,h_index,source
1380311710,S. Tachi,[],unknown,19,10,semantic_scholar
1450798511,N. Elshaboury,[],unknown,105,19,semantic_scholar
2222806205,Yacine Hasnaoui,[],unknown,6,5,semantic_scholar
94985814,O. Katipoğlu,[],unknown,111,18,semantic_scholar
3462452,Salim Heddam,[],unknown,146,37,semantic_scholar
107641223,Hamza Bouguerra,[],unknown,17,10,semantic_scholar
2078792986,A. Hebal,[],unknown,7,3,semantic_scholar
96810301,N. Bailek,[],unknown,70,23,semantic_scholar
89479473,Bilel Zerouali,[],unknown,69,19,semantic_scholar
38958484,M. Achite,[],unknown,59,20,semantic_scholar
2258235228,Mohammed Achite,[],unknown,13,5,semantic_scholar
95977257,R. Kechiched,[],unknown,46,15,semantic_scholar
1736651,S. Levine,[],unknown,551,166,semantic_scholar
51441905,M. Guermoui,[],unknown,82,26,semantic_scholar
3419747,Z. Yaseen,[],unknown,615,81,semantic_scholar
49591684,M. Gad,[],unknown,52,22,semantic_scholar
2282210703,Robert Szczepanek,[],unknown,7,4,semantic_scholar
2307979584,N. Daif,[],unknown,8,3,semantic_scholar
51996767,A. Elbeltagi,[],unknown,172,46,semantic_scholar
46578014,S. Niculescu,[],unknown,38,13,semantic_scholar
2339110639,Kusum Pandey,[],unknown,14,2,semantic_scholar
108020916,O. Derdous,[],unknown,22,11,semantic_scholar
2090448085,M. H. Eid,[],unknown,48,17,semantic_scholar
84040281,S. Elsayed,[],unknown,85,29,semantic_scholar
1405251937,J. Navarro-Pedreño,[],unknown,137,29,semantic_scholar
1777727,S. Mahmoudi,[],unknown,111,21,semantic_scholar
1470787504,Issam Rehamnia,[],unknown,9,5,semantic_scholar
2091230866,Nadir Marouf,[],unknown,15,6,semantic_scholar
1422596910,Ouafi Ameur-zaimeche,[],unknown,17,11,semantic_scholar
70207345,M. Lazri,[],unknown,38,13,semantic_scholar
2645384,K. Kavukcuoglu,[],unknown,121,75,semantic_scholar
1689992,P. Abbeel,[],unknown,596,164,semantic_scholar
3255983,Volodymyr Mnih,[],unknown,47,32,semantic_scholar
145824029,David Silver,[],unknown,120,79,semantic_scholar
2000906,Ilya Kostrikov,"['University of California, Berkeley']",diaspora,42,29,semantic_scholar
98047949,A. Benatiallah,[],unknown,56,11,semantic_scholar
89848489,K. Khanchoul,[],unknown,40,13,semantic_scholar
2312605618,Boumediene Ladjal,[],unknown,2,2,semantic_scholar
9720214,M. Bechouat,[],unknown,55,16,semantic_scholar
2316111399,A. Rabehi,[],unknown,38,16,semantic_scholar
2309408012,T. Tuğrul,[],unknown,16,6,semantic_scholar
2316658850,Nadjib Mebirouk,[],unknown,4,3,semantic_scholar
2096013322,Moussa Amrane,[],unknown,9,4,semantic_scholar
2316656955,Salah Messast,[],unknown,4,3,semantic_scholar
1417914784,Mohammed El Amin Larabi,[],unknown,24,5,semantic_scholar
2343937523,Selma Remidi,[],unknown,1,1,semantic_scholar
36168848,A. Boutaleb,[],unknown,38,9,semantic_scholar
2223713712,Abderraouf Seffari,[],unknown,2,1,semantic_scholar
1825142,M. A. Lazouni,[],unknown,20,5,semantic_scholar
2160608,Mostafa EL HABIB DAHO,['University of Western Brittany'],diaspora,46,11,semantic_scholar
2191866124,Salah Difi,[],unknown,11,6,semantic_scholar
150988308,Elhadj Mokhtari,[],unknown,15,6,semantic_scholar
2056678169,M. Y. Mahmoud,[],unknown,4,0,semantic_scholar
2109685937,Sungwon Kim,[],unknown,111,35,semantic_scholar
2283033024,H. Hafdaoui,[],unknown,10,3,semantic_scholar
2306969048,Ouahab Kadri,[],unknown,5,2,semantic_scholar
38370906,Adel Abdelhadi,[],unknown,14,3,semantic_scholar
97923809,M. Mihoubi,[],unknown,33,9,semantic_scholar
3110882,A. Chouder,[],unknown,124,35,semantic_scholar
107957079,Enas E. Hussein,[],unknown,46,25,semantic_scholar
92661427,A. Derdour,[],unknown,39,12,semantic_scholar
12225816,H. Boutaghane,[],unknown,46,15,semantic_scholar
101856721,Tarek Bouregaa,[],unknown,13,3,semantic_scholar
103633134,A. Gaagai,[],unknown,28,13,semantic_scholar
2126900905,H. Aouissi,[],unknown,31,13,semantic_scholar
107597546,A. Athamena,[],unknown,10,5,semantic_scholar
1470690399,Muhammad Jehanzaib,[],unknown,44,18,semantic_scholar
14909457,S. Benmamar,[],unknown,32,7,semantic_scholar
92257050,Yamina Elmeddahi,[],unknown,13,5,semantic_scholar
3037129,K. Labadi,[],unknown,53,14,semantic_scholar
6484844,O. Kisi,[],unknown,490,91,semantic_scholar
102555394,Yacine Mohia,[],unknown,12,4,semantic_scholar
104492750,M. Zine,[],unknown,10,2,semantic_scholar
1943737,F. Harrou,[],unknown,252,48,semantic_scholar
123581733,A. Benali,[],unknown,7,4,semantic_scholar
2380885888,Somia Benali,[],unknown,1,0,semantic_scholar
1753223,Alex Graves,[],unknown,79,52,semantic_scholar
2073365488,Gokul Swamy,[],unknown,27,14,semantic_scholar
2154630502,Jiaming Ji,[],unknown,16,12,semantic_scholar
152447364,Laura M. Smith,[],unknown,16,15,semantic_scholar
1688276,Daan Wierstra,[],unknown,66,45,semantic_scholar
31387636,K. Bouchouicha,[],unknown,49,17,semantic_scholar
2284078706,Mohamed Nadour,[],unknown,16,4,semantic_scholar
30976686,Nadji Hadroug,[],unknown,49,14,semantic_scholar
2202586161,Moussa Sedraoui,[],unknown,7,3,semantic_scholar
1492126833,T. Agajie,[],unknown,45,18,semantic_scholar
2230484321,Ouahab Abdelwhab,[],unknown,6,1,semantic_scholar
2368202922,Ferial El Robrini,[],unknown,1,1,semantic_scholar
30876093,B. Amrouche,[],unknown,17,8,semantic_scholar
2124419399,Umit Cali,[],unknown,105,14,semantic_scholar
2344286,T. Ustun,[],unknown,344,54,semantic_scholar
118275102,A. Bouamrane,[],unknown,22,9,semantic_scholar
2284082371,Fateh Attoui,[],unknown,1,1,semantic_scholar
1712132884,Fayçel Arbaoui,[],unknown,3,2,semantic_scholar
2264351458,M. Saidi,[],unknown,3,1,semantic_scholar
9330473,N. Boutasseta,[],unknown,52,17,semantic_scholar
1743345,NECAIBIA Ammar,"['Unité de Recherche en Energie Renouvelables en milieu saharien, URERMS, Centre de Développement des Energies Renouvelables, CDER, 01000, Adrar, Algeria']",local,82,20,semantic_scholar
88757975,Mohssen Elbagory,[],unknown,45,12,semantic_scholar
2328228213,Ahmed Tamma,[],unknown,6,5,semantic_scholar
90915606,Hend Hussein,[],unknown,17,13,semantic_scholar
